Datetime,Id,Name,Congestion,CongestionLevel
20230517000000,6967166,롯데월드어드벤쳐,0.00068,1.0
20230517010000,6967166,롯데월드어드벤쳐,0.0004,1.0
20230517020000,6967166,롯데월드어드벤쳐,0.0004,1.0
20230517030000,6967166,롯데월드어드벤쳐,0.00036,1.0
20230517040000,6967166,롯데월드어드벤쳐,0.00044,1.0
20230517050000,6967166,롯데월드어드벤쳐,0.00036,1.0
20230517060000,6967166,롯데월드어드벤쳐,0.00123,1.0
20230517070000,6967166,롯데월드어드벤쳐,0.00334,1.0
20230517080000,6967166,롯데월드어드벤쳐,0.00608,1.0
20230517090000,6967166,롯데월드어드벤쳐,0.01649,1.0
20230517100000,6967166,롯데월드어드벤쳐,0.02535,2.0
20230517110000,6967166,롯데월드어드벤쳐,0.05057,3.0
20230517120000,6967166,롯데월드어드벤쳐,0.0737,3.0
20230517130000,6967166,롯데월드어드벤쳐,0.06778,3.0
20230517140000,6967166,롯데월드어드벤쳐,0.06253,3.0
20230517150000,6967166,롯데월드어드벤쳐,0.06154,3.0
20230517160000,6967166,롯데월드어드벤쳐,0.05383,3.0
20230517170000,6967166,롯데월드어드벤쳐,0.04938,2.0
20230517180000,6967166,롯데월드어드벤쳐,0.05049,3.0
20230517190000,6967166,롯데월드어드벤쳐,0.03655,2.0
20230517200000,6967166,롯데월드어드벤쳐,0.01045,1.0
20230517210000,6967166,롯데월드어드벤쳐,0.00219,1.0
20230517220000,6967166,롯데월드어드벤쳐,0.00115,1.0
20230517230000,6967166,롯데월드어드벤쳐,0.00068,1.0
20230517000000,187961,롯데월드잠실점,0.00371,1.0
20230517010000,187961,롯데월드잠실점,0.00218,1.0
20230517020000,187961,롯데월드잠실점,0.00218,1.0
20230517030000,187961,롯데월드잠실점,0.00196,1.0
20230517040000,187961,롯데월드잠실점,0.0024,1.0
20230517050000,187961,롯데월드잠실점,0.00196,1.0
20230517060000,187961,롯데월드잠실점,0.00676,1.0
20230517070000,187961,롯데월드잠실점,0.01832,1.0
20230517080000,187961,롯데월드잠실점,0.03337,2.0
20230517090000,187961,롯데월드잠실점,0.09053,3.0
20230517100000,187961,롯데월드잠실점,0.13917,3.0
20230517110000,187961,롯데월드잠실점,0.27769,3.0
20230517120000,187961,롯데월드잠실점,0.40464,4.0
20230517130000,187961,롯데월드잠실점,0.37214,4.0
20230517140000,187961,롯데월드잠실점,0.34335,4.0
20230517150000,187961,롯데월드잠실점,0.33789,4.0
20230517160000,187961,롯데월드잠실점,0.29557,3.0
20230517170000,187961,롯데월드잠실점,0.27114,3.0
20230517180000,187961,롯데월드잠실점,0.27725,3.0
20230517190000,187961,롯데월드잠실점,0.20069,3.0
20230517200000,187961,롯데월드잠실점,0.05737,3.0
20230517210000,187961,롯데월드잠실점,0.012,1.0
20230517220000,187961,롯데월드잠실점,0.00633,1.0
20230517230000,187961,롯데월드잠실점,0.00371,1.0
20230517000000,188485,롯데백화점잠실점,0.00058,1.0
20230517010000,188485,롯데백화점잠실점,0.00039,1.0
20230517020000,188485,롯데백화점잠실점,0.00039,1.0
20230517030000,188485,롯데백화점잠실점,0.00035,1.0
20230517040000,188485,롯데백화점잠실점,0.00043,1.0
20230517050000,188485,롯데백화점잠실점,0.00035,1.0
20230517060000,188485,롯데백화점잠실점,0.00121,1.0
20230517070000,188485,롯데백화점잠실점,0.00327,1.0
20230517080000,188485,롯데백화점잠실점,0.00553,1.0
20230517090000,188485,롯데백화점잠실점,0.0143,1.0
20230517100000,188485,롯데백화점잠실점,0.02291,1.0
20230517110000,188485,롯데백화점잠실점,0.04621,2.0
20230517120000,188485,롯데백화점잠실점,0.0669,3.0
20230517130000,188485,롯데백화점잠실점,0.06106,3.0
20230517140000,188485,롯데백화점잠실점,0.05716,3.0
20230517150000,188485,롯데백화점잠실점,0.0551,3.0
20230517160000,188485,롯데백화점잠실점,0.04964,2.0
20230517170000,188485,롯데백화점잠실점,0.04543,2.0
20230517180000,188485,롯데백화점잠실점,0.04594,2.0
20230517190000,188485,롯데백화점잠실점,0.03339,2.0
20230517200000,188485,롯데백화점잠실점,0.00892,1.0
20230517210000,188485,롯데백화점잠실점,0.00207,1.0
20230517220000,188485,롯데백화점잠실점,0.00109,1.0
20230517230000,188485,롯데백화점잠실점,0.00062,1.0
20230517000000,188592,롯데마트제타플렉스점,0.00027,1.0
20230517010000,188592,롯데마트제타플렉스점,0.00018,1.0
20230517020000,188592,롯데마트제타플렉스점,0.00018,1.0
20230517030000,188592,롯데마트제타플렉스점,0.00018,1.0
20230517040000,188592,롯데마트제타플렉스점,9e-05,1.0
20230517050000,188592,롯데마트제타플렉스점,9e-05,1.0
20230517060000,188592,롯데마트제타플렉스점,0.00018,1.0
20230517070000,188592,롯데마트제타플렉스점,0.00128,1.0
20230517080000,188592,롯데마트제타플렉스점,0.0021,1.0
20230517090000,188592,롯데마트제타플렉스점,0.01039,1.0
20230517100000,188592,롯데마트제타플렉스점,0.00921,1.0
20230517110000,188592,롯데마트제타플렉스점,0.02517,2.0
20230517120000,188592,롯데마트제타플렉스점,0.03747,2.0
20230517130000,188592,롯데마트제타플렉스점,0.03456,2.0
20230517140000,188592,롯데마트제타플렉스점,0.02982,2.0
20230517150000,188592,롯데마트제타플렉스점,0.02936,2.0
20230517160000,188592,롯데마트제타플렉스점,0.02434,1.0
20230517170000,188592,롯데마트제타플렉스점,0.0207,1.0
20230517180000,188592,롯데마트제타플렉스점,0.02571,2.0
20230517190000,188592,롯데마트제타플렉스점,0.01559,1.0
